Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
CBSE-01-Einführung.pdf;2131226;"Prof. Dr.-Ing. Bernd-Uwe Rogalla";"2017-03-01 11:21:39";CBSE-01-Einführung.pdf;;/CBSE-01-Einführung.pdf
"CBSE-02-Software Design Prinzipien - 2017 04 05.pdf";4186379;"Prof. Dr.-Ing. Bernd-Uwe Rogalla";"2017-04-05 14:01:02";"CBSE-02-Software Design Prinzipien - 2017 04 05.pdf";;/CBSE-02-Software_Design_Prinzipien_-_2017_04_05.pdf
"CBSE-02-Software Design Prinzipien - 2017 04 12.pdf";4778319;"Prof. Dr.-Ing. Bernd-Uwe Rogalla";"2017-04-12 12:11:39";"CBSE-02-Software Design Prinzipien - 2017 04 12.pdf";;/CBSE-02-Software_Design_Prinzipien_-_2017_04_12.pdf
"CBSE-03-ADO .NET - 2017 03 22.pdf";1703537;"Prof. Dr.-Ing. Bernd-Uwe Rogalla";"2017-03-22 13:52:46";"CBSE-03-ADO .NET - 2017 03 22.pdf";;/CBSE-03-ADO_.NET_-_2017_03_22.pdf
"CBSE-04-Projekt Autoverwaltung.pdf";1309829;"Prof. Dr.-Ing. Bernd-Uwe Rogalla";"2017-04-26 12:41:43";"CBSE-04-Projekt Autoverwaltung.pdf";;/CBSE-04-Projekt_Autoverwaltung.pdf
